Id,Country,Location Name,Mag,Deaths,Death Description,Total Deaths,Total Death Description
4266.0,MEXICO,MEXICO:  S,7.2,3.0,1.0,3.0,1.0
4356.0,MEXICO,"MEXICO: MEXICO CITY, OAXACA",7.8,6.0,1.0,6.0,1.0
4451.0,MEXICO,"MEXICO:  OAXACA, GUERRERO",7.3,18.0,1.0,18.0,1.0
4465.0,MEXICO,MEXICO-GUATEMALA:  S CHIAPAS,6.1,20.0,1.0,20.0,1.0
4795.0,MEXICO,MEXICO:  ACAPULCO,6.6,1.0,1.0,1.0,1.0
4819.0,MEXICO,MEXICO:  OAXACA,7.7,9.0,1.0,9.0,1.0
4828.0,MEXICO,MEXICO:  GUERRERO,7.6,5.0,1.0,5.0,1.0
4879.0,MEXICO,MEXICO:  NW,6.4,1.0,1.0,1.0,1.0
4932.0,MEXICO,MEXICO:  MICHOACAN: LAZARO CARDENAS,7.3,3.0,1.0,3.0,1.0
4943.0,MEXICO,"MEXICO:  GUERERRO, ORZIBA, OAXACA, GUADALUPE",7.0,9.0,1.0,9.0,1.0
5194.0,MEXICO,"MEXICO:  MEXICO CITY, ACAPULCO",6.8,3.0,1.0,3.0,1.0
5418.0,MEXICO,"MEXICO:  GUERRERO, OAXACA, PUEBLA, MEXICO CITY",7.4,3.0,1.0,3.0,1.0
5444.0,MEXICO,"MEXICO:  MICHOACAN, ARTEAGA",7.2,1.0,1.0,1.0,1.0
5523.0,MEXICO,"MEXICO:  PUEBLA, VERACRUZ, OAXACA, MORELOS, GUERRERO",7.0,20.0,1.0,20.0,1.0
5537.0,MEXICO,MEXICO:  OAXACA,7.5,35.0,1.0,35.0,1.0
5673.0,MEXICO,"MEXICO:  VILLA DE ALVAREZ, COLIMA, TECOMAN, JALISCO",7.5,29.0,1.0,29.0,1.0
8932.0,MEXICO,MEXICO:  BAJA CALIFORNIA,7.2,2.0,1.0,2.0,1.0
9767.0,MEXICO,MEXICO:  SAN ANDRES HUAXPALTEPEC,6.2,1.0,1.0,1.0,1.0
9853.0,MEXICO,MEXICO:  GUERRERO,6.4,2.0,1.0,2.0,1.0
9876.0,MEXICO,"MEXICO:  GUERRERO, OAXACA",7.4,2.0,1.0,2.0,1.0
10102.0,MEXICO,MEXICO; GUATEMALA:  SAN MARCOS,6.9,3.0,1.0,3.0,1.0
10104.0,MEXICO,MEXICO:  OAXACA,6.3,1.0,1.0,1.0,1.0
10350.0,MEXICO,MEXICO:  COCOTITLAN,6.6,2.0,1.0,2.0,1.0
10268.0,MEXICO,MEXICO:  OAXACA,6.1,5.0,1.0,5.0,1.0
10303.0,MEXICO,MEXICO:  OAXACA,7.2,14.0,1.0,14.0,1.0
10506.0,MEXICO,MEXICO: OAXACA,7.4,10.0,1.0,10.0,1.0
10572.0,MEXICO,MEXICO:  GUERRERO,7.0,3.0,1.0,3.0,1.0
10645.0,MEXICO,"MEXICO:  MICHOACAN, COLIMA, JALISCO",7.6,2.0,1.0,2.0,1.0
7221.0,MEXICO,MEXICO:  CHIAPAS,3.5,10.0,1.0,1879.0,4.0
5076.0,MEXICO,MEXICO:  MICHOACAN:  MEXICO CITY,8.1,9500.0,4.0,9500.0,4.0
2932.0,MEXICO,"MEXICO: COLIMA, JALISCO, MEXICO CITY",7.6,463.4,3.0,463.4,3.0
3148.0,MEXICO,"MEXICO:  VERACRUZ: COZAUTLAN, PUEBLA: PATLANALA",7.8,648.0,3.0,648.0,3.0
