"Search Parameters"	"Id"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Country"	"Area"	"Region"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"Mw"	"Ms"	"Mb"	"Ml"	"Mfa"	"Unk"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1900 <= Year >= 2024""]"																																																
	10252	2017	6	12	12	28	39.2	5652		"GREECE"		130	"GREECE: LESBOS"	38.93	26.365	12	6.3	6.3						9	1	1			15	1		2	10	1	250	3	1	1			15	1		2	10	1	250	3
	10253	2017	6	14	7	29	4.4			"GUATEMALA"		100	"GUATEMALA: QUETZALTENANGO, SUCHITEPEQUEZ; MEXICO"	14.909	-92.009	93	6.9	6.9		6.5				8	5	1			30	1		3		1		3	5	1			30	1		3		1		3
	10317	2017	6	21	4	40				"NEPAL"		60	"NEPAL:  DHADING"	27.64	85.17		3.2						3.2		1	1			1	1							1	1			1	1						
	10256	2017	6	22	12	31	3.5			"GUATEMALA"		100	"GUATEMALA: ESCUINTLA, SUCHITEPEQUEZ, GUATEMALA"	13.717	-90.972	38	6.8	6.8						6					4	1		2			53	2					4	1		2			53	2
	10257	2017	6	24	2	37	18.5			"MOZAMBIQUE"		10	"MOZAMBIQUE"	-19.45	34.488	27	5.6	5.6						4					4	1		1	2	1	2	1					4	1		1	2	1	2	1
	10258	2017	7	6	8	3	57.6			"PHILIPPINES"		170	"PHILIPPINES: LEYTE"	11.127	124.629	9	6.5	6.5						9	4	1			448	3	5	3	735	3	1029	4	4	1			448	3	5	3	735	3	1029	4
	10259	2017	7	17	23	35	34	5654		"RUSSIA"		50	"RUSSIA: BERING ISLAND"	54.443	168.857	10	7.7	7.7						8																								
	10284	2017	7	18	2	5	19.8			"PERU"		160	"PERU:  AREQUIPA"	-16.416	-73.636	44	6.4	6.4						7	1	1			1	1							1	1			1	1						
	10260	2017	7	20	22	31	11.3	5655		"TURKEY"		140	"TURKEY: BODRUM, DATCA; GREECE: KOS"	36.929	27.414	7	6.6	6.6						7	2	1			500	3		2		1		1	2	1			500	3		2		1		1
	10318	2017	8	2	7	15	13.7			"CHILE"		160	"CHILE:  SANTIAGO"	-33.212	-70.626	92	5.4	5.4						6	1	1											1	1										
	10261	2017	8	8	13	19	49.5			"CHINA"		30	"CHINA:  SICHUAN PROVINCE:  ABA"	33.193	103.855	9	6.5	6.5						5	29	1			525	3	500	4	100	2	72500	4	29	1			525	3	500	4	100	2	72500	4
	10262	2017	8	8	23	27	53.1			"CHINA"		40	"CHINA:  XINGJIANG: BORTALA"	44.302	82.832	20	6.3	6.3						6					32	1		2	142	3	1060	4					32	1		2	142	3	1060	4
	10283	2017	8	11	21	45	9.4			"PERU"		160	"PERU: AREQUIPA"	-16.299	-73.474	41	5.6	5.6						5	1	1				1							1	1				1						
	10445	2017	8	13	16	51	24.1			"PERU"		160	"PERU:  JUNIN"	-10.721	-74.566	32	5.8	5.8						8	1	1			2	1		1					1	1			2	1		1				
	10263	2017	8	21	18	57	51.1			"ITALY"		130	"ITALY:  ISCHIA ISLAND"	40.783	13.939	3	4.2			4.2				5	2	1			42	1		2		2		2	2	1			42	1		2		2		2
	10264	2017	8	22	22	26	14.6			"PHILIPPINES"		170	"PHILIPPINES: LEYTE: ORMOC"	10.954	124.707	17	5			5				5	2	1				1		2			56	2	2	1				1		2			56	2
	10266	2017	9	8	4	49	19.2	5658		"MEXICO"		150	"MEXICO: OAXACA, CHIAPAS, TABASCO; GUATEMALA"	15.022	-93.899	47	8.2	8.2						9	98	2			251	3	4000	4	47468	4	94027	4	98	2			251	3	4000	4	47468	4	94027	4
	10267	2017	9	19	18	14	38.1			"MEXICO"		150	"MEXICO: MEXICO CITY, MORELOS, PUEBLA"	18.55	-98.489	48	7.1	7.1						9	369	3			6000	4	8000	4	226	3	184000	4	369	3			6000	4	8000	4	226	3	184000	4
	10268	2017	9	23	12	53	1.5			"MEXICO"		150	"MEXICO:  OAXACA"	16.626	-95.078	10	6.1	6.1						7	5	1			7	1		1	11	1			5	1			7	1		1	11	1		
	10269	2017	9	23	20	47	6.8			"PHILIPPINES"		170	"PHILIPPINES: MINDANAO: LANAO DEL SUR PROVINCE"	7.562	124.743	8	5.7	5.7						4					11	1		2	55	2	1659	4					11	1		2	55	2	1659	4
	10272	2017	10	31	0	42	8.7	5663		"NEW CALEDONIA"		170	"NEW CALEDONIA:  LOYALTY ISLANDS"	-21.697	169.149	24	6.7	6.7						3																								
	10319	2017	10	31	11	50	48.4			"INDONESIA"		170	"INDONESIA:  MALUKU:  AMBON"	-3.745	127.752	6	6.1	6.1						5	1	1						1			14	1	1	1						1			14	1
	10273	2017	11	1	2	23	57.7	5664		"NEW CALEDONIA"		170	"NEW CALEDONIA:  LOYALTY ISLANDS"	-21.648	168.859	22	6.6	6.6						3																								
	10275	2017	11	12	18	18	17.2			"IRAN"		140	"IRAN: KERMANSHAH; IRAQ: KURDISTAN"	34.911	45.959	19	7.3	7.3						8	630	3			12900	4	750	4	15500	4	14500	4	630	3			12900	4	750	4	15500	4	14500	4
	10276	2017	11	13	2	28	23.7			"COSTA RICA"		100	"COSTA RICA: JACO"	9.515	-84.487	19	6.5	6.5						8	2	1											2	1										
	10277	2017	11	15	5	29	32.8			"SOUTH KOREA"		30	"SOUTH KOREA: POHANG"	36.074	129.28	10	5.5	5.5						8					90	2	75.8	4		1	2165	4					90	2	75.8	4		1	2165	4
	10473	2017	11	17	22	34	19.5			"CHINA"		40	"CHINA:  TIBET (XIZANG PROVINCE): NYINGCHI"	29.833	94.984	8	6.4	6.4						5					3	1		3			3000	4					3	1		3			3000	4
	10282	2017	11	18	16	7	0.3			"INDONESIA"		170	"INDONESIA: NORTH MALUKU: MOROTAI"	2.465	128.148	8	5.8	5.8							1	1						2			294	3	1	1						2			294	3
	10442	2017	11	19	9	25	48.7	5723		"NEW CALEDONIA"		170	"NEW CALEDONIA:  LOYALTY ISLANDS"	-21.638	168.673	14	6.3	6.3						5																								
	10443	2017	11	19	15	9	2.9	5724		"NEW CALEDONIA"		170	"NEW CALEDONIA:  LOYALTY ISLANDS"	-21.503	168.598	13	6.6	6.6						3																								
	10281	2017	11	19	22	43	29.3	5670		"NEW CALEDONIA"		170	"NEW CALEDONIA:  LOYALTY ISLANDS"	-21.325	168.672	10	7	7						4																								
	10285	2017	11	23	9	43	34.7			"CHINA"		30	"CHINA: CHONGQING: WULONG"	29.349	108.058	10	5.1			5.1				4					8	1	1.5	2	1	1	30	1					8	1	1.5	2	1	1	30	1
	10286	2017	12	1	2	32	46			"IRAN"		140	"IRAN:  KERMAN"	30.746	57.307	9	6.1	6.1						5					51	2		1		2		1					51	2		1		2		1
	10287	2017	12	15	16	47	58.2			"INDONESIA"		60	"INDONESIA:  JAVA"	-7.492	108.174	90	6.5	6.5						7	4	1			36	1		2			4825	4	4	1			36	1		2			4825	4
	10288	2017	12	20	19	57	38.1			"IRAN"		140	"IRAN:  ALBORZ"	35.649	50.962	10	4.9			4.9				6	2	1			117	3							2	1			117	3						
	10289	2017	12	26	21	24	32.6			"IRAN"		140	"IRAN: ALBORZ, TEHRAN"	35.716	51.256	10	4			4				4	1	1			57	2							1	1			57	2						
	10292	2018	1	4	10	46	11.7			"MONTENEGRO"		130	"BALKANS NW:  MONTENEGRO: BERANE"	42.66	19.862	10	5.1	5.1		4.9				3						1		2				3						1		2				3
	10290	2018	1	6	15	22	9.1			"IRAN"		140	"IRAN:  KERMANSHAH"	34.585	45.77	10	5	5						6					51	2		1		2							51	2		1		2		
	10293	2018	1	8						"NETHERLANDS"		120	"THE NETHERLANDS: GRONINGEN"	53.2	6.6		3.4						3.4									2				4								2				4
